error404,id,nome,idade,salario,cidade,departamento,email,telefone,estado
erro,1,Leonardo,61,11492,Rio de Janeiro,Operações,user0@empresa.com,(11)94766-6644,RJ
erro,2,Helena,43,6911,Belo Horizonte,Operações,user1@empresa.com,(11)93914-5968,RJ
erro,3,Karla,49,5987,São Paulo,Operações,user2@empresa.com,(11)96917-9787,RJ
erro,4,Sergio,23,11719,,TI,user3@empresa.com,(11)91728-2365,RJ
erro,5,Quintino,49,8015,São Paulo,Marketing,user4@empresa.com,(11)95492-1698,MG
erro,6,Helena,21,3218,,Financeiro,user5@empresa.com,(11)98186-1395,MG
erro,7,Carlos,28,6496,São Paulo,TI,user6@empresa.com,(11)98400-9082,MG
erro,8,Carlos,34,6735,,Operações,user7@empresa.com,(11)95171-5360,MG
erro,9,Ana,55,13296,,RH,user8@empresa.com,(11)93502-1717,RJ
erro,10,Eduardo,41,12927,Rio de Janeiro,Operações,user9@empresa.com,(11)93782-5946,SP
erro,11,Julia,22,6555,,Marketing,user10@empresa.com,(11)96486-9335,RJ
erro,12,Gabriel,69,11146,Rio de Janeiro,Operações,user11@empresa.com,(11)95980-8266,SP
erro,13,Igor,51,10050,,RH,user12@empresa.com,(11)95491-8192,MG
erro,14,Gabriel,23,14757,Belo Horizonte,Marketing,user13@empresa.com,(11)96588-8651,RJ
erro,15,Igor,39,5446,Belo Horizonte,Operações,user14@empresa.com,(11)94636-2167,MG
erro,16,Helena,28,3045,Belo Horizonte,Marketing,user15@empresa.com,(11)92062-3156,RJ
erro,17,Leonardo,65,8893,,Financeiro,user16@empresa.com,(11)98860-6161,MG
erro,18,Bruno,33,3693,Rio de Janeiro,Financeiro,user17@empresa.com,(11)96305-7541,SP
erro,19,Ana,50,5436,Rio de Janeiro,Operações,user18@empresa.com,(11)95729-8330,SP
erro,20,Paulo,26,10754,,Marketing,user19@empresa.com,(11)96334-9924,SP
erro,21,Eduardo,23,12677,Belo Horizonte,RH,user20@empresa.com,(11)95330-9010,RJ
erro,22,Carlos,33,7895,Belo Horizonte,Operações,user21@empresa.com,(11)97801-5846,SP
erro,23,Leonardo,46,5354,Rio de Janeiro,Financeiro,user22@empresa.com,(11)97731-8241,RJ
erro,24,Helena,20,2225,Belo Horizonte,Financeiro,user23@empresa.com,(11)91953-3539,SP
erro,25,Carlos,37,6893,São Paulo,Operações,user24@empresa.com,(11)98056-2542,SP
